expression,reading,eng_meaning,chi_meaning,level,guid
湿気,しっけ,"moisture, humidity, dampness",濕度、濕氣、潮濕,N3,mI:_~nX$Y!
実験,じっけん,lab work; experiment,實驗室工作；實驗,N3,hmPfhao45;
実現,じつげん,"implementation, materialization, realization",實施、物化、實現,N3,fGH.>rJnym
実行,じっこう,"practice, execution (e.g., program), realization",實踐、執行（例如，程序）、實現,N3,O_Qp[P4rQP
実際,じっさい,in fact; in actuality,事實上；實際上,N3,"B6Z:.Y11k,"
実施,じっし,"enforcement, carry out, operation",執法、執行、行動,N3,dXLqmB^MiP
湿度,しつど,humidity,濕度,N3,lZGX2R~;Bn
じっと,じっと,"patiently, quietly",耐心、安靜地,N3,Nkvz[eNt`n
実に,じつに,"indeed, truly, surely",確實，真的，肯定,N3,I|OQWMaQog
実は,じつは,actually; in fact,實際上；事實上,N3,s#X::H+4<F
失望,しつぼう,"disappointment, despair",失望，絕望,N3,mi8g|r~Txf
実力,じつりょく,ability; force,能力；力量,N3,F5g81kES4+
支店,してん,branch store (office),分店（辦公室）,N3,h*O$^StSa>
指導,しどう,"leadership, guidance, coaching",領導、指導、輔導,N3,AKsjeKTYcK
自動,じどう,"automatic, self-motion",自動的，自主運動,N3,O4.zUw/o_S
児童,じどう,"children, juvenile",兒童，青少年,N3,"e,|tEbv]Zq"
品,しな,"thing, article, goods",東西、物品、商品,N3,bDnAvhtlH7
支配,しはい,"rule, control, direction",規則、控制、方向,N3,GJx2Cizi1x
芝居,しばい,"play, drama",戲劇,N3,gtSlTkyCFW
しばしば,しばしば,"often, again and again, frequently",經常，反复，頻繁,N3,oKzAa``eqH
芝生,しばふ,lawn,草地,N3,"wbx:,PABM*"
支払,しはらい,payment,支付,N3,Ev?:EQ7Ks`
支払う,しはらう,to pay,支付,N3,"ND2,<K].}x"
死亡,しぼう,death,死亡,N3,zYjIN3r3C
資本,しほん,"funds, capital",資金、資本,N3,K]eJp4bmn-
姉妹,しまい,sisters,姊妹,N3,D=K+>4{9gs
しまった (かん),しまった (かん),Damn it!,該死的！,N3,lG^NNUo)xn
自慢,じまん,"pride, boast",驕傲，自誇,N3,I/xy:2]J/|
地味,じみ,"quiet, plain, conservative",安靜、樸素、保守,N3,o(yU(Vt?_.
示す,しめす,"to show, to indicate",表示，表明,N3,Jd8*LeirRj
占める,しめる,to take up; to account for,承擔；負責,N3,r`M6Y4!/$F
湿る,しめる,"to be wet, to be damp",潮濕的，濕漉漉的,N3,uFiSD0nBbH
下,しも,"under, below, beneath",下面，下方，在…之下,N3,"NEdu]f-jA,"
霜,しも,frost,霜,N3,r%B(k2*%-2
借金,しゃっきん,"debt, loan, liabilities",債務、貸款、負債,N3,HTrhI~ql4k
しゃべる,しゃべる,"to talk, to chat, to chatter (same as 話す (はなす))",說話，聊天，閒聊（與話す（はなす）相同）,N3,xm(;YK[sEF
週,しゅう,week,星期,N3,"x+o,UuIX0t"
州,しゅう,"state, province",州、省,N3,"P_~2Qd-Z,0"
銃,じゅう,gun,槍,N3,g}R=q_AV`]
周囲,しゅうい,"surroundings, circumference, environs",周圍環境，週長，週邊,N3,k;vO#x`Yq;
収穫,しゅうかく,"harvest, crop, ingathering",收穫，作物，收集,N3,Q1;gC;3=ME
宗教,しゅうきょう,religion,宗教,N3,h2}ja7i^zZ
重視,じゅうし,"importance, stress",重要性，壓力,N3,p)R=DLs-/X
就職,しゅうしょく,finding employment,尋找工作,N3,G#y*V:{2Bq
ジュース,ジュース,"juice, soft drink; deuce",果汁，軟性飲料；二,N3,w1Xid7|yfz
修正,しゅうせい,"amendment, correction",修正、更正,N3,gUKGu[G9oC
重体,じゅうたい,"seriously ill, critical state",病情嚴重，危急狀態,N3,"F]Ml+g6],&"
渋滞,じゅうたい,"congestion (e.g., traffic), delay",擁堵（例如交通擁堵）、延誤,N3,f6HLmc1`E?
重大,じゅうだい,"serious, important",嚴肅的，重要的,N3,bRTiuj?[St
住宅,じゅうたく,"resident, housing",居民住房,N3,"bO,.P:9Wr8"
集団,しゅうだん,"group, mass",群體，品質,N3,O[N$vC_)x(
集中,しゅうちゅう,"concentration, focusing the mind",集中註意力,N3,z{<Xu{#h*c
収入,しゅうにゅう,"income, revenue",收入、收益,N3,Ow2ez*OE$v
住民,じゅうみん,"inhabitants, residents",居民,N3,M3~&[?-]c=
重要,じゅうよう,"important, essential",重要的，必不可少的,N3,d;5d4|x2m2
修理,しゅうり,"repairing, mending",修理，修補,N3,i2Z^HI-&!g
主義,しゅぎ,"doctrine, cause, principle",教義、事業、原則,N3,mm(7ICuhH@
宿泊,しゅくはく,lodging,住宿,N3,sJf/S8qo)G
手術,しゅじゅつ,surgical operation,手術,N3,O=U-eHfq4I
首相,しゅしょう,Prime Minister,總理,N3,"h%Bt%?=g9,"
手段,しゅだん,"means, way, measure",手段、方法、測量,N3,cG]JN2+6BK
主張,しゅちょう,"claim, insistence, assertion",主張、堅持、斷言,N3,PQKr-g-1[?
出場,しゅつじょう,participation,參與,N3,u|Gl.@-_{b
出身,しゅっしん,come from,來自,N3,E~$fFKz?VN
出版,しゅっぱん,publication,出版品,N3,pHGL?y?[mQ
首都,しゅと,capital city,首都,N3,"pV,3~,Z87["
主婦,しゅふ,housewife,家庭主婦,N3,cu7/mz5_+B
主要,しゅよう,"chief, main",首領，主要,N3,e/wz>k>*.!
需要,じゅよう,demand,要求,N3,wIb;!:/d[S
種類,しゅるい,"variety, kind",種類，種類,N3,yLzP_}wHk~
順,じゅん,"order, turn",順序，輪,N3,j(7}!qj-R?
瞬間,しゅんかん,"moment, second",瞬間，第二刻,N3,w74BNqe`C[
順調,じゅんちょう,doing well,表現良好,N3,QTXqs`sU2C
順番,じゅんばん,"turn (in line), order of things",輪流（排隊），事物的順序,N3,"B3?=*++0m,"
使用,しよう,"use (same as 使うこと (つかうこと)), application, employment, utilization",使用（與使うこと (つかうこと) 相同）、申請、僱用、利用,N3,"fv),c7#%~v"
小,しょう,small,小的,N3,He3e1#-/kV
章,しょう,"chapter, section; medal",章節、節；獎章,N3,Cp$qz7LRQ1
賞,しょう,"prize, award",獎項,N3,ixda5oQQ=r
上,じょう,first volume; superior quality; governmental,第一卷；品質優良；政府,N3,bjtdx{-WQ5
障害,しょうがい,"obstacle, impediment",障礙，阻礙,N3,lN`%jCJ3Cv
奨学金,しょうがくきん,scholarship,獎學金,N3,Q-*B#$A6L:
乗客,じょうきゃく,passenger,乘客,N3,F?2lxj<[^L
上京,じょうきょう,proceeding to the capital (Tokyo),前往首都（東京）,N3,EmcG8c7y3D
状況,じょうきょう,"state of affairs, situation",事態，情況,N3,eJ+`w-qU@C
条件,じょうけん,"conditions, terms",條件、條款,N3,PesF@2hHde
正午,しょうご,"noon, mid-day",中午，中午,N3,i0$lSUJ-1J
正直,しょうじき,"honesty, integrity, frankness",誠實、正直、坦率,N3,l~d^29Cn=%
常識,じょうしき,common sense,常識,N3,b?[*`UKS8R
少女,しょうじょ,young girl,年輕女孩,N3,lN;?Tr6q{x
少々,しょうしょう,a little; short (time) (formal for 少し (すこし)),一點;短（時間）（少し (すこし) 的正式形式）,N3,Ievwu]EUfz
症状,しょうじょう,"symptoms, condition",症狀、狀況,N3,v+Eb}=L(fE
生じる,しょうじる,"to occur, to arise, to be generated",發生，出現，生成,N3,"F/qG4,c8v/"
状態,じょうたい,"condition, situation",狀況、情況,N3,u!E?FPG-@p
上達,じょうたつ,"improvement, advance",改進，進步,N3,Cc{1AI[wlm
冗談,じょうだん,a joke,一個笑話,N3,CllWuV2>%{
上等,じょうとう,"first class, very good",一流，非常好,N3,tjn_MUpJQp
衝突,しょうとつ,"collision, conflict",碰撞、衝突,N3,D@=pGn%86P
商人,しょうにん,"trader, shopkeeper, merchant",商人、店主、商家,N3,MlJB*>A^h!
承認,しょうにん,"recognition, approval",認可、批准,N3,"N==,~orf~["
少年,しょうねん,"boys, juveniles",男孩，青少年,N3,p6fQoD5WK;
商売,しょうばい,"trade, business, commerce",貿易、商業、商務,N3,"LoHl,.u1Y|"
消費,しょうひ,"consumption, expenditure",消費、支出,N3,r7nT91%)]@
商品,しょうひん,"commodity, merchandise",商品，貨物,N3,w+UOx&@[sL
賞品,しょうひん,"prize, trophy",獎品，獎盃,N3,M}I~*8Gv<&
消防,しょうぼう,"fire fighting, fire department",消防，消防部門,N3,u20O%VZ|ID
情報,じょうほう,"information, (military) intelligence",資訊、（軍事）情報,N3,cpG:I1X!x-
証明,しょうめい,"proof, verification",證明、驗證,N3,l8;-B$4N!G
省略,しょうりゃく,"omission, abbreviation, abridgment",省略、縮寫、簡略,N3,jp1y&-#kyn
女王,じょおう,queen,女王,N3,furG^[#|I<
職,しょく,employment,就業,N3,"hJY}5,Qu8j"
職業,しょくぎょう,"occupation, business",職業、商業,N3,tU=ntM)WP{
食卓,しょくたく,dining table,餐桌,N3,o})uu+vtqN
食品,しょくひん,foodstuff,食品,N3,iU(>r<G;@0
植物,しょくぶつ,"plant, vegetation",植物，植被,N3,mpdopLG{vR
食物,しょくもつ,"food, foodstuff",食物，食品,N3,KrMVp?T5YJ
食欲,しょくよく,appetite (for food),食慾,N3,qt1GC>c)@^
食料,しょくりょう,food,食物,N3,"k76m(C.Z,~"
食糧,しょくりょう,"provisions, rations",物資、口糧,N3,"e~`&J:],P}"
書斎,しょさい,"study, den",研究，巢穴,N3,z(Zi=4k7-t
女子,じょし,"woman, girl",女人，女孩,N3,y}`qNApt9R
助手,じょしゅ,"helper, assistant",幫手，助手,N3,F9rI>UKU}`
徐々に,じょじょに,"slowly, little by little",慢慢地，一點一點地,N3,Ik@-$!%)*d
署名,しょめい,signature,簽名,N3,"C)w4*u^eJ,"
書物,しょもつ,books,圖書,N3,dsq%HW0O`l
女優,じょゆう,actress,演員,N3,g6/0nLbYEk
処理,しょり,"processing, treatment, disposition",加工、處理、處置,N3,"n-}WPF,.CB"
書類,しょるい,"documents, official papers",文件、官方文件,N3,Ehj{.OHy`#
知らせ,しらせ,notice,注意,N3,tE;LJdiq{b
尻,しり,"buttocks, bottom",臀部，屁股,N3,Cp-T01W>>7
知合い,しりあい,acquaintance,熟人,N3,Jz(h+XVbH4
印,しるし,mark; symbol; evidence,標記；符號；證據,N3,F?8:NFp=(i
城,しろ,castle,城堡,N3,GnhkX+7b^.
進学,しんがく,going on to university,繼續上大學,N3,p#!GLXFzk~
神経,しんけい,"nerve, sensitivity",神經，敏感性,N3,"mz&,NqxuZ0"
真剣,しんけん,"seriousness, earnestness",嚴肅，認真,N3,PuRLKa9@q(
信仰,しんこう,"(religious) faith, belief",（宗教）信仰，信念,N3,g~oH1SUq[>
信号,しんごう,"traffic lights, signal, semaphore",交通號誌、號誌燈、號誌旗,N3,z?zKX+/#?f
人工,じんこう,"artificial, man made, human work,",人造的，人造的，人類的勞動成果,N3,zQ3t>E=&2U
深刻,しんこく,serious,嚴肅的,N3,Kel_M-JGRX
診察,しんさつ,medical examination (of a patient),（對病人的）體檢,N3,Mx*u-x#R2}
人種,じんしゅ,race (of people),種族（人種）,N3,Mm&n`P$vPl
信じる,しんじる,to believe,相信,N3,E~EJs-CkJ`
人生,じんせい,"(human) life (e.g., conception to death)",（人類）生命（例如，從受孕到死亡）,N3,G{?]K0G%It
親戚,しんせき,relative(s),親屬）,N3,f;-yjmPO85
新鮮,しんせん,fresh,新鮮的,N3,hgsIFo;k1C
心臓,しんぞう,heart,心,N3,FBeXkqV5hu
身体,しんたい,the body,身體,N3,t3y~q`<OO!
身長,しんちょう,"height (of body), stature",身高（身體高度），體格,N3,v2>$s!00R?
慎重,しんちょう,"careful, prudent, cautious",謹慎的，小心的，謹慎的,N3,H{qX;#1p@y
審判,しんぱん,"umpire, referee, judgment",裁判、裁判員、判決,N3,"i+^OoCXV,-"
人物,じんぶつ,"character, personality, talented man",品格、個性、才華洋溢的人,N3,OXSwNDOM:u
進歩,しんぽ,"improvement, progress, development",改進、進步、發展,N3,C*Oco$5$I7
親友,しんゆう,"close friend, buddy",好朋友，哥們,N3,e!XKqiS_]u
信用,しんよう,"confidence, dependence",信心，依賴,N3,D_Xu621X(*
信頼,しんらい,"reliance, trust, confidence",依賴、信任、信心,N3,Cc(neZE[/;
心理,しんり,mentality,心理,N3,M4-pHm{8Hp
人類,じんるい,"mankind, humanity",人類，人性,N3,yGfC3NH0c~
巣,す,"nest, breeding place",巢穴，繁殖地,N3,wae)m$%B2U
酢,す,vinegar,醋,N3,S|>MWw8{x
図,ず,"figure, drawing, illustration",人物、繪畫、插圖,N3,o=i@Vi;`4G
水準,すいじゅん,"level, standard",水平，標準,N3,LrR5Wf1Z7N
推薦,すいせん,recommendation,推薦,N3,jvDU?eC@&E
スイッチ,スイッチ,switch,轉變,N3,D+{$1{/[wR
睡眠,すいみん,sleep,睡覺,N3,wh0!*D%WvE
数,すう,"number, figure",數字，數字,N3,J]}my?o<Q!
数字,すうじ,"numeral, figure",數字，數字,N3,B[Gra1kO)v
スープ,スープ,(Western) soup,（西式）湯,N3,"s,J:5SYdW2"
末,すえ,"the end of, powder",粉末的末端,N3,EyKo./;AAl
姿,すがた,"figure, shape, appearance",身材、形狀、外貌,N3,gTn!6ZHkYs
スキー,スキー,ski,滑雪,N3,EDq$^7+uK~
救う,すくう,"to rescue from, to help out of",解救，幫助脫離,N3,Pzdj_}ruVB
すくなくとも,すくなくとも,at least,至少,N3,s64aNUZ0&F
優れる,すぐれる,"to surpass, to outstrip, to excel",超越，勝過，出類拔萃,N3,"fFuIf,@I[N"
スケート,スケート,"skate(s), skating",滑冰鞋，滑冰,N3,DQ0-nYW7>.
スケジュール,スケジュール,schedule,行程,N3,m}P~NJ788C
少しも,すこしも,"anything of, not one bit",一點兒也沒有,N3,pSmTW}7_?}
過ごす,すごす,"to pass, to spend (time)",度過，花費（時間）,N3,oE9$X-z%xN
筋,すじ,"muscle, string, line",肌肉、繩子、線,N3,M#_TzTBk6]
進める,すすめる,"to advance, to promote, to hasten",推進，促進，加速,N3,u2l`IqNk23
勧める,すすめる,"to urge (someone) to do (something), to recommend",敦促（某人）做（某事），推薦,N3,"IBeh,nV1Dt"
スター,スター,star,星星,N3,hHJocr{1ix
スタイル,スタイル,style,風格,N3,wQruLdJqJI
スタンド,スタンド,stand,站立,N3,"Qz:R,pd5SR"
頭痛,ずつう,headache,頭痛,N3,hcxF9uQ5ZX
ずっと,ずっと,for a long time; all the time; consecutively,很長一段時間；一直；連續地,N3,OCoZDHO:^u
すっぱい,すっぱい,"sour, acid",酸的，酸的,N3,d)l(J.2Nu=
すてき,すてき,"lovely, great",可愛，很棒,N3,B~-XSf&NNC
既に,すでに,already (same as もう),已（與もう相同）,N3,d=:dSSUK:`
すなわち,すなわち,"that is, namely, e.g.",也就是說，例如：,N3,zS=.lQe1_+
スピーチ,スピーチ,speech,演講,N3,pvM3{8vA`1
全て,すべて,"all, the whole, entirely",全部，整體，完全,N3,kq!H^iT|N4
済ませる,すませる,to be finished,待完成,N3,vQUpvSA005
角,すみ,corner,角落,N3,b^^N<lR$T]
墨,すみ,ink,墨水,N3,Pt>IB]Y%[8
すみません (かん),すみません (かん),"sorry, excuse me",對不起，不好意思。,N3,Kr6X0TH7=(
澄む,すむ,"to clear (e.g., weather), to become transparent",變得清澈（例如，天氣晴朗），變得透明,N3,d^/yYeQD1M
清む,すむ,"to clear (e.g., weather), to become transparent",變得清澈（例如，天氣晴朗），變得透明,N3,wMyt{WAjxX
刷る,する,to print,列印,N3,MuPBNA;83U
為る,する,"to do, to attempt",去做，嘗試,N3,z;FwzGK-v+
鋭い,するどい,"pointed, sharp",尖銳的,N3,s@c[Ya@R|h
すれ違う,すれちがう,to pass by one another,彼此擦肩而過,N3,fP+0(@n(JZ
ずれる,ずれる,"move, off the point",離開那個點,N3,F2j?XV=5UF
正,せい,"(logical) true, regular",（邏輯）真，常規,N3,AC@`-8Z+qv
生,せい,birth,出生,N3,"yDy>Z9R,FJ"
性,せい,"sex, gender",性別,N3,Gy*nj#x|I/
姓,せい,"surname, family name",姓氏，家族名稱,N3,"sO,Mg|Q.hG"
所為,せい,"cause, reason, fault",原因、理由、過錯,N3,yy|zc*n):n
税,ぜい,tax,稅,N3,eEs:NyUxEV
性格,せいかく,"character, personality",性格，個性,N3,l3(d&u3o-<
正確,せいかく,"accurate, punctuality, exact",準確、準時、精確,N3,rg^|Ktq*}h
世紀,せいき,century,世紀,N3,MQfIjnh7j}
請求,せいきゅう,"claim, demand, request",索賠、要求、請求,N3,KNbh$sySYl
税金,ぜいきん,"tax, duty",稅、關稅,N3,Ah}s1$;.$[
清潔,せいけつ,clean,乾淨的,N3,vJiZ-)))FJ
制限,せいげん,"restriction, restraint, limitation",限制、約束、限制,N3,P3D^cMd_|f
成功,せいこう,"success, hit",成功，擊中,N3,bkv%QuVn22
正式,せいしき,"official, formal",正式的，正式的,N3,zSQ*)G#Yvj
性質,せいしつ,"nature, property, disposition",性質、屬性、處置,N3,E(70}4c-m*
精神,せいしん,"mind, soul, spirit",心靈、靈魂、精神,N3,tLy]a8CB9?
成人,せいじん,adult,成人,N3,"g@,iQ!8;."
精々,せいぜい,"at the most, at best",至多如此，往好了說,N3,q[aqj]#7$-
成績,せいせき,"grade (i.e., on a test), academic record",成績（例如考試成績）、學業記錄,N3,o4$BUl?TFA
製造,せいぞう,"manufacture, production",製造、生產,N3,OAvZo`.~[q
贅沢,ぜいたく,"luxury, extravagance",奢華，鋪張,N3,"iRbk]j,(Bl"
成長,せいちょう,growth,生長,N3,lSq)ru5`@&
生長,せいちょう,growth,生長,N3,G5ys*Os]kn
制度,せいど,"system, institution",系統、機構,N3,]d3#w;wAU
青年,せいねん,"youth, young man",青年，年輕人,N3,r|D|m%Ih@3
生年月日,せいねんがっぴ,birth date,出生日期,N3,H8|M5HOte?
製品,せいひん,"manufactured goods, finished goods",製成品，成品,N3,GY93^mZ;)a
政府,せいふ,"government, administration",政府、行政,N3,zDQAHO%nD/
生物,せいぶつ,"living thing, organism",生物，有機體,N3,nx3;swk;nm
生命,せいめい,life,生活,N3,HfE8+JV[><
整理,せいり,"sorting, arrangement",排序、排列,N3,zlHgN/N7&U
咳,せき,cough,咳嗽,N3,yQ$e7`wCNr
石炭,せきたん,coal,煤炭,N3,t&C>c}0]R(
責任,せきにん,"duty, responsibility",職責,N3,HKrlH:Fl)i
石油,せきゆ,"oil, petroleum, kerosene",石油、煤油,N3,"gJm,E%Jb`a"
世間,せけん,"world, society",世界，社會,N3,pFmc#=7y9*
説,せつ,theory,理論,N3,kNv(nqwBQ3
積極的,せっきょくてき,"positive, active, proactive",積極、主動、進取,N3,zQ[EQ]wde[
設計,せっけい,"plan, design",規劃、設計,N3,i>to8js@e$
絶対,ぜったい,"definitely, without fail, absoluteness",絕對的，毫無疑問的，絕對的,N3,"g,<A9qJmV)"
セット,セット,set,放,N3,qu4w*^0<Ni
愛,あい,love,愛,N3,hFW1YrLt0]
相変わらず,あいかわらず,"as ever, as usual",一如既往，一切如常,N3,Ojow^*$or
愛情,あいじょう,"love, affection",愛，感情,N3,Qzcx!}<3R3
合図,あいず,"sign, signal",標誌，訊號,N3,fU+XD$S~|s
アイスクリーム,アイスクリーム,ice cream,冰淇淋,N3,NP9A]*VE%:
愛する,あいする,to love,愛,N3,DeM>~uF)IC
相手,あいて,partner; addressee; the person you are talking to,夥伴；收件人；你正在與之交談的人,N3,y[.4]/S_M)
あいにく,あいにく,unfortunately,很遺憾,N3,hzWiJ*CbeE
遭う,あう,"to meet, to encounter (undesirable nuance)",相遇，遭遇（不恰當的細微差別）,N3,5(WM8:K%>
アウト,アウト,out,出去,N3,l:i}>N{A|}
明かり,あかり,"lamplight, light (in general)",燈光，光（一般意義上的）,N3,evqBji16kk
空き,あき,"vacancy, opening, space",空缺、職位、空間,N3,o4~on{17B&
明らか,あきらか,"obvious, clear",顯而易見，清晰,N3,xr&[9MdyXM
諦める,あきらめる,"to give up, to abandon",放棄，拋棄,N3,cVjy7W5yAS
飽きる,あきる,"to get tired of, to lose interest in",感到厭倦，失去興趣,N3,MTVy#<!xxJ
握手,あくしゅ,handshake,握手,N3,BX@vSTsJMQ
悪魔,あくま,"devil, demon, evil spirit",魔鬼、惡魔、邪靈,N3,gY|8LCMcvD
明ける,あける,"to dawn, to become daylight",黎明，變成白晝,N3,QYMAJT+i|R
揚げる,あげる,"to lift, to fry",舉起，煎炸,N3,kDT9EKS)@x
挙げる,あげる,"to raise; to list, to cite",提出；列舉，引用,N3,"GPil,F&M@,"
預かる,あずかる,to keep (something) for (someone),為（某人）保留（某物）,N3,n!!dea66oU
預ける,あずける,"to give into custody, to deposit",移交保管，存入,N3,ITjUmdJ?SA
汗,あせ,"sweat, perspiration",汗水,N3,L.:p?!w~-_
与える,あたえる,to give,給予,N3,GyK@0^nn9D
温かい,あたたかい,warm,溫暖的,N3,QwQJvr;Yu/
暖まる,あたたまる,to warm up,熱身,N3,cRMS.07iEY
温まる,あたたまる,"to warm oneself, to get warm",取暖，讓自己暖和起來,N3,Cc_8n~b{Xr
暖める,あたためる,"to warm (up to someone/something), to heat (up to someone/something)",使（某人/某物）溫暖，使（某人/某物）加熱,N3,c^bO3wi-j`
温める,あたためる,"to warm, to heat",變暖，加熱,N3,nR%K+*);#2
辺り,あたり,"vicinity, nearby",附近,N3,Nhf6;`GIs6
当たり前,あたりまえ,"usual, common, obvious",通常的，常見的，明顯的,N3,"F|qH}g,OWJ"
当たる,あたる,"to be hit, to be successful",被擊中，成功,N3,c~5${Vgwlg
あちこち,あちこち,here and there,這裡那裡,N3,zllf&_UO$c
扱う,あつかう,"to treat, to handle, to deal with",處理，處置，應對,N3,"o08cD,?4sA"
集まり,あつまり,"gathering, meeting, collection",聚會、會議、集合,N3,jBK/@[g6Hm
当てる,あてる,to hit; to apply to,擊中；應用於,N3,z-r@1e!?]p
跡,あと,trace; remains; scar,痕跡；遺跡；疤痕,N3,q{EbQ0$xa;
穴,あな,hole,洞,N3,J_{zaxL58i
油,あぶら,oil,油,N3,h++g*X+)DT
脂,あぶら,fat,胖的,N3,yaI6J=&24M
誤り,あやまり,error,錯誤,N3,Q&O=zHLH43
粗,あら,"defect, flaw, fault",缺陷、瑕疵、故障,N3,uo3L]S3}+n
嵐,あらし,storm,風暴,N3,"x>[,-C/.7:"
争う,あらそう,"to dispute, to argue, to fight",爭論，爭吵，打架,N3,gCt~zB/0M*
新た,あらた,"new, fresh",嶄新、清新,N3,vUk>5+m4>^
あらゆる,あらゆる,"all, every",所有，每一個,N3,fRH=B?!]8k
表す,あらわす,"to express, to show",表達，展示,N3,J4D9:Mg)~^
現す,あらわす,"to show, to appear, to reveal",顯示，出現，揭示,N3,"J};,Fjv6&g"
著す,あらわす,"to write, to publish",寫作，出版,N3,A}kQPl<:b_
現れ,あらわれ,"expression, indication, sign",表情、指示、符號,N3,wIR$)+P>p)
現れる,あらわれる,"to appear (v.i.), to become visible; to express",出現（不及物動詞），變得可見；表達,N3,uNu]Gn1cS@
ありがとう,ありがとう,Thank you,謝謝,N3,"BCk,]QT,C;"
在る; 有る,ある,"to live, to be, to exist",活著，存在，生存,N3,ugXsXN3GZ/
或,ある,"a certain..., some...",某些…，一些…,N3,fPA~S.(r2^
あるいは,あるいは,"or, perhaps",或者，也許,N3,GpvtMObv5I
アルバム,アルバム,album,專輯,N3,LY~;26p.Bn
泡,あわ,"bubble, foam",氣泡，泡沫,N3,xuN<Cc$=0q
合わせる,あわせる,to combine,合併,N3,I=R#`?=:d[
慌てる,あわてる,to become confused、to panic,變得困惑、恐慌,N3,QKvMMW7GPN
哀れ,あわれ,"helpless, pity, pathetic",無助的，可憐的，悲傷的,N3,Di(vg]NB]7
案,あん,"plan, scheme, proposal",計劃、方案、提案,N3,wa#Lw#FwSj
案外,あんがい,unexpectedly,不料,N3,c{:][-]9cx
