expression,reading,eng_meaning,chi_meaning,level,guid
サンドイッチ,サンドイッチ,sandwich,三明治,N4,"Lah$0,$FHs"
会議室,かいぎしつ,conference room,會議室,N4,oxHUFdCY;/
品物,しなもの,goods,商品,N4,kiGyZq*rIU
人形,にんぎょう,"doll, figure",玩偶，人偶,N4,vPlJ&v75[Q
利用,りよう,"use, utilization",使用、利用,N4,Rh@8N~e0eQ
飾る,かざる,"to decorate, to adorn",裝飾，點綴,N4,"OaqvYHn98,"
止める,とめる,to stop (something),停止（某事）,N4,uL2<QDM;W:
恥ずかしい,はずかしい,"ashamed, embarrassed",羞愧，尷尬,N4,e$Mth*I+Cg
いくら～ても,いくら～ても,however much one may ~,然而，一個人可能~,N4,I]og(vfh}t
用事,ようじ,business to take care of; tasks; errands,待辦事項；任務；差事,N4,p$RznpfpCY
ビル,ビル,(abbr.) building,（縮寫）建築物,N4,H[!Yph0[mz
けんかする,けんかする,quarrel,爭吵,N4,Oc14`ELpiF
頑張る,がんばる,"to try one's best, to try hard, to persist",盡力而為，努力嘗試，堅持不懈,N4,Mz@9d9PizL
投げる,なげる,"to pitch, to cast away",投擲，拋棄,N4,"A%8%S+mN,O"
故障,こしょうする,breakdown,分解,N4,mP~NCidGL7
力,ちから,"strength, power",力量，權力,N4,t<Fy!4ZXqc
受ける,うける,"to take (an examination, interview, etc.); to receive",參加（考試、面試等）；接受,N4,d#N;{6r~iD
気分,きぶん,"feeling, mood",感覺，情緒,N4,GJl$1:;vCi
間違える,まちがえる,to make a mistake,犯錯,N4,Q5b~VM7IRc
そんな,そんな,"such, like that, that sort of",比如，像這樣，那種,N4,ei/O3MuiLE
星,ほし,star,星星,N4,h=LT];WutA
場合,ばあい,"case, situation",情況,N4,qV-2<HJ$$5
やっと,やっと,"at last, finally",終於，終於,N4,Qf-Nk|9F8D
足りる,たりる,to be sufficient; to be enough,足夠；足夠,N4,tSHDO2cb1M
行う,おこなう,to carry out; to conduct (typically used in written language),執行；進行（通常用於書面語）,N4,kSwpIk>RTo
ぶどう,ぶどう,grapes,葡萄,N4,qtf+q-Z+n]
無くなる,なくなる,"to disappear, to get lost",消失，迷失,N4,QEFsGzu!|/
準備,じゅんびする,prepare,準備,N4,h&P$N~U6-[
世界,せかい,world,世界,N4,e<Tae_jQo4
住所,じゅうしょ,address; place of residence,地址；居住地,N4,fPoS$h^c(u
再来月,さらいげつ,the month after next,下個月,N4,Zux^JW=t?
林,はやし,"woods, forest",樹林，森林,N4,@LWUXw-^>
倍,ばい,double,雙倍的,N4,k.0mCWDs+|
痩せる,やせる,to lose weight,減肥,N4,A[Q-]LV0S:
線,せん,"line, wire",線路，電線,N4,dK0yR1DBK`
戦争,せんそう,war,戰爭,N4,l@;Cq/&#91
決める,きめる,to decide (v.t.),決定（及物動詞）,N4,p(qb/m`R:b
調べる,しらべる,to check; to look up; to inquire; to search,查驗；查找；詢問；搜尋,N4,Ov6y=mBwgM
寝坊,ねぼう,sleeping in late,睡到很晚,N4,B(>pXN{@@q
パパ,パパ,"papa, daddy",爸爸，爹地,N4,v.-(XP=XJY
光る,ひかる,"to shine, to glitter",閃耀，發光,N4,xp|/7BLK40
夫,おっと,husband,丈夫,N4,zDF$wWIUs8
雲,くも,cloud,雲,N4,"C3Z1{X<H,4"
坂,さか,"slope, hill",斜坡，山丘,N4,fMGrCf7XcB
～(て) しまう,～(て) しまう,to end up ~,最終~,N4,us+Z5ns><g
飛行場,ひこうじょう,airport,飛機場,N4,A2O=3b{hXI
柔道,じゅうどう,judo,柔道,N4,d[2qz9jnc7
決して,けっして,never,絕不,N4,Kd9N)Izj!4
事務所,じむしょ,office,辦公室,N4,wxgf%k:fc2
連絡,れんらく,"communication, contact, connection",溝通、聯繫、關係,N4,"v[($g<|S,F"
小学校,しょうがっこう,elementary school,小學,N4,f^*MMB(l>o
客,きゃく,"guest, customer",客人、顧客,N4,xF)V^}awc{
昔,むかし,old days; past,過去的日子；過去,N4,hUjfJU~9){
美しい,うつくしい,"beautiful, lovely",美麗，可愛,N4,OB^[>@2T05
捨てる,すてる,"throw away (trash), dump, discard",丟掉（垃圾）、傾倒、丟棄,N4,G;1IJzl`jC
なさる,なさる,-- honorific expression for する --,-- する 的敬語表達 --,N4,zj*av$=2pO
事,こと,"thing(s), matter(s), fact",事物、事件、事實,N4,ca&G<Ve~Nx
どんどん,どんどん,quickly and steadily; at a rapid pace,迅速而穩定地；快速地,N4,q0h/etzyxE
試合,しあい,"match, game, competition",比賽、遊戲、競賽,N4,Hv/PI<4cqa
適当,てきとう,"fitness, suitability",健身，適用性,N4,HX3el]3jvP
素晴らしい,すばらしい,wonderful; terrific,太棒了；極好的,N4,Mq|7Xt}rKi
美術館,びじゅつかん,"art gallery, art museum",美術館，藝術博物館,N4,Lovq=LkX$G
文法,ぶんぽう,grammar,文法,N4,"h2m8,%coR8"
終わり,おわり,end,結尾,N4,j1fvX?gG0M
壁,かべ,wall,牆,N4,um!T&Q*O[?
一度,いちど,"once, one time",一次,N4,z3&2cN)6^e
お礼,おれい,expression of gratitude; thanking; gift of appreciation; bow,表達感激；感謝；謝禮；鞠躬,N4,IzFCHK5nu1
親切,しんせつ,kindness,仁慈,N4,lZWRz?K3ET
知らせる,しらせる,to notify,通知,N4,mORr*vy|g/
歯医者,はいしゃ,dentist,牙醫,N4,"<G@n,w<8p"
熱心,ねっしん,enthusiasm,熱情,N4,bLrU`I|/*{
始める,はじめる,"to start, to begin",開始，開始,N4,"g,>$G?*/Q&"
もらう,もらう,to receive,接收,N4,MhXS3i[O39
泣く,なく,to cry,哭泣,N4,wS:0`lVju$
治る,なおる,to get better; to recover from illness (v.i.),好轉；從疾病中康復（不及物動詞）,N4,J-V8gKft=&
熱,ねつ,"fever, temperature",發燒，體溫,N4,D9dKTYQi:O
お祭り,おまつり,festival,節慶,N4,n=i-:`LzjX
水道,すいどう,"water service, water line",供水服務，水管,N4,FV`Tc-%-nK
匂い,におい,"odor, smell",氣味,N4,P&q^w6d0fO
ベル,ベル,bell,鐘,N4,D!1f]e)iSX
赤ん坊,あかんぼう,baby,嬰兒,N4,I>S)eTr_]B
おかしい,おかしい,strange; odd; funny,奇怪的；古怪的；滑稽的,N4,O9;m#]XEB2
事故,じこ,accident,意外事故,N4,K(yw!r=B:1
変,へん,"strange, odd",奇怪，古怪,N4,e/SMd06F!x
辞典,じてん,"encyclopedia, reference book",百科全書，參考書,N4,brNC9/_sI`
残る,のこる,"to remain (v.i.), to be left",留下（不及物動詞），被留下,N4,INR^BBo=#J
立てる,たてる,"to stand (something) up, to erect (something)",豎立（某物），豎起（某物）,N4,O9fk.~k_.E
くれる,くれる,"to give, to do for",給予，為…而做,N4,hSC5|:)aVz
～員,～いん,member of ~,成員 ~,N4,QHO%z16SSs
原因,げんいん,"cause, origin, source",原因、起源、來源,N4,y8<@Y+?o6j
驚く,おどろく,"to be surprised, to be astonished",感到驚訝，震驚,N4,qBeaklesW+
いただく,頂く,-- extra-modest expression for たべる and のむ; humble expression for もらう --,-- たべる和のむ的超謙虛表達；もらう的謙虛表達——,N4,J*KGnzk|Z2
祖母,そぼ,grandmother,祖母,N4,x!LCLRW]y2
場所,ばしょ,"place, location",地點,N4,qw3.O}/lOC
答,こたえ,"answer, response",回答，回應,N4,xmTYLgV-T_
もちろん,もちろん,"certainly, of course",當然，當然,N4,"m8,NutV2dG"
漬ける,つける,"to soak, to moisten, to pickle",浸泡，潤濕，醃製,N4,h!i?H{d*F@
受付,うけつけ,reception(ist) desk,接待台,N4,"uraaf1,;7Q"
内,うち,"within, inside",在裡面，內部,N4,G1H0$T!7Vl
スクリーン,スクリーン,screen,螢幕,N4,"L/njBN,iH6"
増える,ふえる,"to increase, to multiply",增加，倍增,N4,QW.w#0qn}8
または,または,"or, otherwise",或者，其他,N4,J-^^Uw<Tl~
けがする,けがする,"injury (to animate object), hurt",傷害（使物體動彈），損傷,N4,NP:|wpXW(M
以下,いか,"less than, below",小於，低於,N4,DS5y_+4p`Y
選ぶ,えらぶ,to choose; to select,選擇；挑選,N4,Jo*`4U5e.W
～ばかり,～ばかり,"just did ~, only",剛剛做了~，只有,N4,vbW68h-IIc
心,こころ,"heart, mind",心，思想,N4,Fkhe%Dz2nb
～だす,～だす,to start doing ~,開始做~,N4,B+=k~owmr!
サラダ,サラダ,salad,沙拉,N4,J3A=]P#ec<
届ける,とどける,to deliver (v.t.),交付（動詞）,N4,tA&cXA55C=
挨拶,あいさつする,greet(ing),問候,N4,h|NjvFq!b]
景色,けしき,"scenery, landscape",風景，景觀,N4,Cd#u9/v:Pu
確か,たしか,"if I remember correctly; certain, definite",如果我沒記錯的話；確定的，明確的,N4,v&7%T>e{{z
ステーキ,ステーキ,steak,牛排,N4,K0B$/YQ?Op
食料品,しょくりょうひん,"foodstuff, groceries",食品，雜貨,N4,kg/Pg!K6&w
森,もり,forest,森林,N4,mJkKf?UAUT
以内,いない,"within, less (no more) than",在……之內，少於（不多於）,N4,EyK>c0C[$K
予定,よてい,"plans, arrangement, schedule",計劃、安排、時間表,N4,I$<#IwHCvW
オーバー,オーバー,"overcoat; over, exceeding, exaggeration",外套；過度，過分，誇張,N4,umd4AX=/RI
乾く,かわく,to get dry,晾乾,N4,s+Ju<mmF]C
石,いし,stone,結石,N4,gg2=(OnQKh
思い出す,おもいだす,"to recall, to remember",回憶，記住,N4,O?8pX)Ooz*
踊る,おどる,to dance,跳舞,N4,LnHUFv$!`;
細かい,こまかい,"small; fine, minute",小的；精細的，微小的,N4,PrWma5VeE[
塗る,ぬる,"to paint, to plaster",粉刷，抹灰,N4,gb*{+)EK`F
ご主人,ごしゅじん,"(your, her) husband",（妳的，她的）丈夫,N4,"Gb,y/-3SAS"
珍しい,めずらしい,"unusual, rare",不尋常，罕見,N4,LG3n^a@XAC
用,よう,"errand, task, business (to take care of)",差事、任務、事務（處理）,N4,CvxvGX`|/>
公務員,こうむいん,"government worker, public servant",政府工作人員，公務員,N4,p;42%b%y:T
お嬢さん,おじょうさん,(someone's) daughter (polite),（某人的）女兒（禮貌地）,N4,Ee+d{e?WRj
用意,ようい,preparation,準備,N4,"PJ%Q,E{$_L"
探す,さがす,"to search, to seek, to look for",搜索，尋找，尋找,N4,h4(YO`o85t
形,かたち,shape,形狀,N4,f7_i%J0-/Y
運転,うんてんする,driving,駕駛,N4,r!zv#R0ur*
すっかり,すっかり,"all, completely",全部，完全,N4,nV=]]BK.9=
アナウンサー,アナウンサー,announcer,pod音員,N4,oG?shn0:uO
お土産,おみやげ,souvenir,紀念品,N4,IKS:}hgF8q
消しゴム,けしゴム,eraser,橡皮,N4,"gW^biR[nM,"
旅館,りょかん,a Japanese inn,一家日本旅館,N4,Ke`aN1|5T#
海岸,かいがん,"coast, seashore",海岸，海濱,N4,O1]Ne=Q0*.
寂しい,さびしい,"lonely, lonesome",孤獨，寂寞,N4,pi{)YOFX|t
火,ひ,fire,火,N4,gjC}:7>!AJ
育てる,そだてる,to raise (v.t.); to bring up,扶養（動詞）；帶大,N4,r6b~+z#uh_
味噌,みそ,"miso, bean paste",味噌，豆醬,N4,FzA7odIzvp
お祝い,おいわい,"congratulation, celebration",恭喜，慶祝,N4,sQaWTq!hP`
乗り物,のりもの,vehicle,車輛,N4,i9[ZI9WM}X
案内,あんないする,"information, guidance",資訊、指導,N4,DO_nJ<yYaJ
通う,かよう,to go back and forth; to commute,往返；通勤,N4,D<g$_r(YBs
連れる,つれる,"to lead, to take (a person)",帶領，帶（某人）,N4,J&sg+H>0p_
技術,ぎじゅつ,"technique, technology, skill",科技、科技、技能,N4,PCC!&zGiCY
小鳥,ことり,small bird,小鳥,N4,G|$muceS&O
下宿,げしゅく,"lodging, boarding house",住宿，寄宿公寓,N4,"bmjB!,8T=p"
ジャム,ジャム,jam,果醬,N4,D@h7*f7p?d
招待,しょうたいする,invitation,邀請,N4,c$Y~;QF){;
鏡,かがみ,mirror,鏡子,N4,v%J5x[E:;(
はず,はず,it should be so,應該如此。,N4,Jg5{R&fxyH
法律,ほうりつ,law,法律,N4,O9|FD5Fq3.
進む,すすむ,"to advance, to proceed",前進，繼續,N4,b6Re}g0};8
楽む,たのしむ,to enjoy,享受,N4,iCe:{Xn-6L
貿易,ぼうえき,trade,貿易,N4,bc9Yp10YbE
反対,はんたい,"oppose, opposition, resistance",反對，反對派，抵抗,N4,KY]P)[osSM
おる,おる,-- extra-modest expression for いる --,-- いる 的超謙虛表達方式 --,N4,Adc_Jds{te
申す,もうす,-- extra-modest (humble) expression for 言う (いう) --,-- 言う (いう) 的超謙虛（謙虛）表達方式 --,N4,e<WJ-6`NVb
試験,しけん,an exam,考試,N4,bUCd_5rR^-
真面目,まじめ,"diligent, serious",勤奮、認真,N4,xK*F{fx?.z
ごらんになる,,-- honorific expression for みる --,-- みる 的敬語表達 --,N4,k(j]!OR1gM
店員,てんいん,clerk; shop-employee,店員；商店員工,N4,GeFU%up;F{
泊まる,とまる,to stay (over night) (v.i.),過夜（動詞）,N4,IbHq#Ubd>&
よろしい,よろしい,"(hon.) good, OK, all right",（尊敬的）好的，好的，沒問題,N4,Ah<}g#ysAC
今夜,こんや,"this evening, tonight",今晚,N4,qWO]e*;%U}
おつり,おつり,change; balance of money returned to the purchaser,找零；退還給購買者的餘額,N4,wx#vXTnj!Z
チェックする,チェックする,check,查看,N4,o%*Ndg~YHB
会話,かいわ,conversation,對話,N4,dD;CvmzQ9b
空気,くうき,"air, atmosphere",空氣，大氣,N4,C)1Z!^eB^|
交通,こうつう,"traffic, transportation",交通運輸,N4,AyJ>}k*DyK
ワープロ,ワープロ,word processor,文字處理器,N4,!Qc[fI`%{
喜ぶ,よろこぶ,"to rejoice, to be delighted, to be glad",歡欣鼓舞，感到高興，感到快樂,N4,DF7Py?yTD[
急行,きゅうこう,express train or bus,快車或巴士,N4,t]K/5%].:3
皆,みな,everyone,每個人,N4,r56e/uzKVH
味,あじ,"flavor, taste",味道，口感,N4,B]?q9zUNzO
空港,くうこう,airport,飛機場,N4,Qgx/]mMiIj
手袋,てぶくろ,glove(s),手套）,N4,LM6P1@!I~2
校長,こうちょう,"principal, headmaster",校長，校長,N4,eI/Ghjq;7/
ごちそう,ごちそう,"feast, treating (someone)",宴請，款待（某人）,N4,D/ibPniDYT
踊り,おどり,dance,舞蹈,N4,J=*Z|>n+QR
興味,きょうみ,interest (in something),對某事感興趣,N4,DIyl0xA#)2
引っ越す,ひっこす,to move to a new place of residence,搬到新的居住地,N4,EGeSfwOFZ.
冷房,れいぼう,"cooling, air conditioning",冷氣、空調,N4,stZHJs{qvP
都合,つごう,"circumstances, convenience",情況、便利,N4,b;szYJp1~0
遠慮,えんりょする,"restraint, reserve, hesitate",克制、矜持、猶豫,N4,uqPUmCD*1n
亡くなる,なくなる,to pass away,過世,N4,Iq_q:mI=}n
科学,かがく,science,科學,N4,gWOi-(wW;M
はっきり,はっきり,"clearly, distinctly",清晰、明確,N4,soMm6B)m]t
差し上げる,さしあげる,-- humble expression for あげる --,-- あげる的謙虛表達 --,N4,zkSrvJWm{I
気持ち,きもち,"feeling, sensation, mood",感覺、情緒,N4,P!ajdoiyb.
祖父,そふ,grandfather,祖父,N4,ytyAfRG*6x
港,みなと,"harbor, port",港口,N4,sHl5)cnUcM
予約,よやく,reservation,預訂,N4,rSce1JPbkI
凄い,すごい,"terrific, great",太棒了，很好,N4,P~)7jIfH{m
入学,にゅうがくする,entry to school or university,進入學校或大學,N4,"jo:/>1,9uU"
片付ける,かたづける,"to (clean) tidy up (v.t.), to put away",收拾整理（動詞），收起來,N4,Ef_Twp5ERS
写す,うつす,to copy (v.t.); to photograph,複製（動詞）；拍攝,N4,x|L%TU)*iv
パソコン,パソコン,(personal) computer,（個人）電腦,N4,tQ#JE!pNrV
部長,ぶちょう,department (division) manager,部門（科室）經理,N4,O:v<m}n3*n
火事,かじ,fire,火,N4,Kll.Pvc/gB
足す,たす,to add (numbers),相加（數字）,N4,M:pOTP>t7-
教会,きょうかい,church,教會,N4,oA&[8r+GKm
彼ら,かれら,they (usually male),他們（通常是男性）,N4,k?K1].&L.0
一杯,いっぱい,"full, to the utmost",完全，達到極致,N4,w&/o{@M=$:
アメリカ,アメリカ,"America, U.S.A.",美國，美國,N4,IVipO?aKE#
