expression,reading,eng_meaning,chi_meaning,level,guid
銀行,ぎんこう,bank,銀行,N5,dJzM6E^Crr
金曜日,きんようび,Friday,星期五,N5,H)-<3>G;wq
九,く,nine,九,N5,J.@??p5!Es
薬,くすり,medicine,藥物,N5,e<qA>@afcN
下さい,ください,(with te-form verb) please do for me,（動詞形式為te）請幫我做,N5,wZXS53y~A
果物,くだもの,fruit,水果,N5,"ff8}}%,}l0"
口,くち,job opening; mouth,招募資訊；口,N5,ODcS@5Ag5;
靴,くつ,"shoes, footwear",鞋子，鞋類,N5,n}XPqtAFrb
靴下,くつした,socks,襪子,N5,"m{wv6,~qH4"
国,くに,country; place of origin,國家；原產地,N5,qu43})1T{b
曇り,くもり,"cloudiness, cloudy weather",陰天,N5,"J%t?_,0ZZ)"
曇る,くもる,"to become cloudy, to become dim",變得陰沉，變得昏暗,N5,h68<#-5u4*
暗い,くらい,"dark, gloomy",陰暗、陰鬱,N5,l[W6inIL/c
～くらい; ぐらい,～くらい; ぐらい,approximate (quantity),大約（數量）,N5,i|aE4l1U6h
クラス,クラス,a class,一年級,N5,I|[#&/BoM*
グラム,グラム,gram,克,N5,wf@~Kdx9Mo
来る,くる,to come,即將到來,N5,t8%I(!NKuq
車,くるま,"car, vehicle",汽車，車輛,N5,Dp50G3U@L=
黒,くろ,black,黑色的,N5,eM3bqzySWE
黒い,くろい,black; dark,黑色；深色,N5,y`TB7E}KvC
警官,けいかん,police officer,警官,N5,r|k<lg[-^X
今朝,けさ,this morning,今晨,N5,Ojh!YT%>_O
消す,けす,"to erase, to delete, to turn off power",擦除、刪除、關機,N5,kyBQ8>]kOz
結構,けっこう,"splendid; enough, tolerably",極好的；夠了，勉強可以接受。,N5,OhYc[d+;sX
結婚,けっこん (する),marriage (get married),結婚,N5,yoFb9mQ>xx
月曜日,げつようび,Monday,週一,N5,py]#+qmS;#
玄関,げんかん,entrance (to a house or a building),（房屋或建築物的）入口,N5,nzna3U1d%4
元気,げんき,"health(y), energetic",健康，精力充沛,N5,C6oDoveAM%
～個,～こ,"counter for small items (e.g., fruits, cups)",用於存放小件物品（例如水果、杯子）的櫃檯,N5,"L)v,!KJ|+1"
五,ご,five,五,N5,CPX]&C<[AA
～語,～ご,"word, language",詞語，語言,N5,OS-NJNma:q
公園,こうえん,a park,公園,N5,"I!nU=ub,Sv"
交差点,こうさてん,intersection,路口,N5,fB2Ek#M/vd
紅茶,こうちゃ,black tea,紅茶,N5,k->[;qN`>7
交番,こうばん,police box,警亭,N5,Opg/[%q+N8
声,こえ,voice,嗓音,N5,In/Jo>[]?<
コート,コート,"coat; court (e.g., tennis)",外套；球場（例如，網球）,N5,"e4scbA,t~J"
コーヒー,コーヒー,coffee,咖啡,N5,d<P1^SSa-:
ここ,ここ,"here, this place",這裡，這個地方,N5,Lq)wtpkam*
午後,ごご,"afternoon, P.M.",下午，P.M.,N5,C_ZC&#?>G!
九日,ここのか,nine days; ninth day of the month,九天；該月的第九天,N5,l7hYJ[~^44
九つ,ここのつ,nine things,九件事,N5,DvF}1X8pH=
午前,ごぜん,"morning, A.M.",上午，上午,N5,ue~BwANA9n
答える,こたえる,"to answer, to reply",回答，回覆,N5,x<$h-)|1km
こちら,こちら,this person (polite); this way (polite),這個人（禮貌地）；這條路（禮貌地）,N5,A^:pzWeFGD
こっち,こっち,this person; this direction; this side,這個人；這個方向；這邊,N5,KZ(~KRGBCG
コップ,コップ,a tumbler; a glass,玻璃杯；玻璃,N5,fS_r5k@$Y6
今年,ことし,this year,今年,N5,F4V9w7@Age
言葉,ことば,language; word(s); expression(s),語言；詞語；表達方式,N5,EWtR7eO/R4
子供,こども,child(ren),孩子們）,N5,CU[{wZ(D{$
この,この,this,這,N5,pPsd:zD9O?
御飯,ごはん,rice (cooked); meal,米飯（熟的）；餐食,N5,biiyLkNokP
コピーする,コピーする,to copy,複製,N5,pIfdJ-gQ=x
困る,こまる,"to be bothered, to have difficulty",感到困擾，遇到困難,N5,QJ1l#P3oS5
これ,これ,this one,這個,N5,CY7%/#&PC;
～ころ; ～ごろ,～ころ; ～ごろ,"about, toward, approximately (time)",大約，朝向，大約（時間）,N5,ygFZGug3gm
今月,こんげつ,this month,本月,N5,m1R02~~j[
今週,こんしゅう,this week,本星期,N5,DK9g?(!36`
こんな,こんな,"such, like this",例如，像這樣,N5,DuEU98EMih
今晩,こんばん,"tonight, this evening",今晚，今晚,N5,F3};?W>+5Y
さあ,さあ,"come now, well",好了，好,N5,Ag`@=t><OI
～歳,～さい,~ years old,~歲,N5,yIt4LQzbb!
財布,さいふ,wallet,錢包,N5,xwbRMO4c<;
魚,さかな,fish,魚,N5,zzI@?Uq@Z[
先,さき,"future; recent, previous",將來式；最近的，過去的,N5,tGm0X7=@hF
咲く,さく,to bloom,盛開,N5,F>Pt~gStbR
作文,さくぶん,essay; composition,作文；作文,N5,fOn$od$Eoc
差す,さす,"to raise (stretch out) hands, to raise (e.g., umbrella)",舉起（伸出）雙手，舉起（例如，傘）,N5,b|c|&{UKxH
～冊,～さつ,counter for books,圖書櫃檯,N5,DJ:3n{-XN%
雑誌,ざっし,"magazine, journal",雜誌、期刊,N5,gVzfIhXfBF
砂糖,さとう,sugar,糖,N5,M]8mQGX#}E
寒い,さむい,cold (in reference to weather),寒冷（指天氣）,N5,x@[mMxA?Z}
さ来年,さらいねん,year after next,後年,N5,C4/Z2oi:V>
～さん,～さん,"Mr. ~, Ms. ~",先生/女士,N5,i|L#.MVmNG
三,さん,three,三,N5,jB}%X}YQ)P
散歩,さんぽ (する),"walk, stroll",散步、漫步,N5,C7E%FY>8|T
四,し,four,四,N5,q%G#*K^0R+
～時,～じ,~ o'clock (time),~ 點鐘（時間）,N5,m]7PVW-h[^
塩,しお,salt,鹽,N5,mQXb>=tTk}
しかし,しかし,however; but,然而；但是,N5,g2(en9wt=#
時間,じかん,time,時間,N5,rl<d#jP#zf
～時間,～じかん,~ hours,大約小時,N5,PfD-$$uDhD
仕事,しごと,"work, job, occupation, employment",工作、職業、就業,N5,BpR$XStq*~
辞書,じしょ,dictionary,字典,N5,Ls?+XP<x!7
静か,しずか,"quiet, calm",安靜，平靜,N5,P>BDZl[pK4
下,した,"under, below, beneath",下面，下方，在…之下,N5,j8V7%&V*V9
七,しち,seven,七,N5,d9Ei.i(]l3
質問,しつもん,"question, inquiry",問題、詢問,N5,hbG&tzjk([
自転車,じてんしゃ,bicycle,自行車,N5,cQ/jE!IBMW
自動車,じどうしゃ,automobile,汽車,N5,s>B81r@vvP
死ぬ,しぬ,to die,死亡,N5,DTv8zMSE:A
字引,じびき,dictionary,字典,N5,"q(KV,tLbs@"
自分,じぶん,"myself, oneself",我自己,N5,PVgO:!yY%&
閉まる,しまる,"to close, to be closed",關閉，被關閉,N5,gcQz%z-FEM
閉める,しめる,"to close, to shut",關閉，停下,N5,gf.^6?5[K1
締める,しめる,"to tie, to fasten, to tighten",係緊，固定，收緊,N5,zslBUbe/:)
じゃ; じゃあ,じゃ; じゃあ,"well, well then",好吧，好吧,N5,I*;H$6{i?j
写真,しゃしん,a picture; a photograph,圖片；照片,N5,uE&XA7mYm9
シャツ,シャツ,shirt,襯衫,N5,ubVcrQ$8%@
シャワー,シャワー,shower,淋浴,N5,op46S^HFU7
十,じゅう,ten,十,N5,t#RE}A*?;i
～中,～じゅう,"during, while",在……期間，,N5,GjJjAMMc<N
～週間,～しゅうかん,~ weeks,大約幾週,N5,B5/n=cEC&j
授業,じゅぎょう,a class (of school),（學校的）班級,N5,In^9^.q{~0
宿題,しゅくだい,homework,家庭作業,N5,PE;OT+iIoY
上手,じょうず,"be good at, skillful",擅長，熟練,N5,zE7uPe$TPk
丈夫,じょうぶ,"strong, solid, durable",堅固、結實、耐用,N5,"rzxPYrs,=L"
醤油,しょうゆ,soy sauce,醬油,N5,Cx=6Q3yGAf
食堂,しょくどう,"cafeteria, dining hall",自助餐廳，食堂,N5,q/e+PknS.X
知る,しる,"to know, to understand",了解，理解,N5,jmoS>4h`&Q
白,しろ,white,白色的,N5,?4vV_taj)
白い,しろい,white,白色的,N5,yL-#%FMe~@
～人,～じん,counter for people,人流計數器,N5,cRB`piJTT=
新聞,しんぶん,newspaper,報紙,N5,u)<uacY_Qa
水曜日,すいようび,Wednesday,週三,N5,kl%)(*`5]a
吸う,すう,"to breathe in, to suck",吸氣，吸氣,N5,wwi3CXCv2|
スカート,スカート,skirt,裙子,N5,NE$eFg+K&Y
好き,すき,"liking, fondness, love",喜歡、喜愛、愛,N5,B}kz{&9>=0
～すぎ,～すぎ,"past; to exceed, ~ too much",過去；超過，~ 太多,N5,D/A*oT1;-^
少ない,すくない,a little; a few,一點點；幾個,N5,O}E#|bt5>=
すぐに,すぐに,"immediately, soon",立即，很快,N5,c+_z#9>We^
少し,すこし,"little, few",少，很少,N5,LEWblI/l<)
涼しい,すずしい,"cool, refreshing (in reference to weather)",涼爽的，令人神清氣爽的（指天氣）,N5,y%0&)B2:*;
～ずつ,～ずつ,at a time,一次,N5,e7*dq)(1^5
ストーブ,ストーブ,heater (lit: stove),加熱器（字面意思：爐灶）,N5,xw_f78(-:7
スプーン,スプーン,spoon,湯匙,N5,FjQLk(n?P#
スポーツ,スポーツ,sport(s),運動的）,N5,F^wO!?E%?^
ズボン,ズボン,trousers,褲子,N5,"FU-<z{1,6("
住む,すむ,"to reside, to live in",居住，住在,N5,ym>?}%jeF+
する,する,"to do, to try; to wear small items (e.g., necktie, watch, etc.)",做，嘗試；佩戴小物件（例如領帶、手錶等）,N5,"LT|A_z,G+T"
座る,すわる,to sit,坐,N5,dn)bcr6wXa
背,せい,"(one's) height, stature",身高，體型,N5,xQDy{9R)S2
生徒,せいと,student; pupil,學生；學徒,N5,c2wTXo?)*o
セーター,セーター,sweater,毛衣,N5,NSeOhKH2D6
石鹸,せっけん,soap,肥皂,N5,tY/1~r6Mz5
背広,せびろ,men's suit,男士西裝,N5,w`:i7/YHYU
狭い,せまい,narrow; not spacious,狹窄；不寬敞,N5,yDZurM]5mn
ゼロ,ゼロ,zero,零,N5,G~4~zg|xJJ
千,せん,thousand,千,N5,IvU;IZmo9!
先月,せんげつ,last month,上個月,N5,RcD!zS6[>I
先週,せんしゅう,last week,上個星期,N5,EbyugR;^Rz
先生,せんせい,"teacher, professor; master; doctor",教師，教授；碩士；醫生,N5,A`19t`6J6t
洗濯,せんたく,"washing, laundry",洗滌、洗衣,N5,vQ&mbAJqN7
全部,ぜんぶ,"all, entire, whole",全部，整體，全然,N5,MgJu@!Fk&_
そう; そうです,そう; そうです,"yes; appears, to be the case",是的，看來確實如此。,N5,kkfDg[|_Yb
掃除,そうじ (する),"cleaning, sweeping",清潔，掃地,N5,LKKhbs9g8/
そうして; そして,そうして; そして,"and, like that",就這樣,N5,C/Lx0#`!+J
そこ,そこ,"that place, there; bottom, sole",那個地方，那裡；底部，鞋底,N5,v56KFY.>v@
そちら,そちら,over there,在那邊,N5,xbjis~A;+*
そっち,そっち,over there,在那邊,N5,#PXdxM^5L
外,そと,"outside, exterior",外面，外部,N5,AFB3>g85F]
その,その,that,那,N5,C2OIF=[)E_
そば,そば,"near, close, beside; Japanese traditional buckwheat noodle",附近，靠近，旁邊；日本傳統蕎麥麵,N5,M)]t*`<F@c
空,そら,sky,天空,N5,D.6b;1{88^
それ,それ,that one,那個,N5,t%n)3@@XX+
それから,それから,"and then, after that",然後，在那之後,N5,sV(hn]KLzr
